time,ribA,ribD1,ribD2,E1,ribH,ribE,E2,GTP,C01304,C01268,C04454,C04732,C04332,riboflavin,FMN
9.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,8.99100895055e-18,4.04595399743e-26,1.21378620014e-34,2.73101895153e-43,4.91583403931e-52,7.37375050484e-61,9.48053425598e-70
9.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,9.09090904955e-18,4.1363635862e-26,1.25469695543e-34,2.8544355749e-43,5.19507267213e-52,7.87919298626e-61,1.02429487039e-69
9.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,9.19080914853e-18,4.22777217594e-26,1.29651680161e-34,2.98198864508e-43,5.48685903203e-52,8.41318327015e-61,1.1057324333e-69
9.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,9.29070924751e-18,4.32017976664e-26,1.33925572869e-34,3.11376957066e-43,5.79161132579e-52,8.97699696339e-61,1.19265793554e-69
9.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,9.39060934647e-18,4.4135863583e-26,1.38292372668e-34,3.24987075922e-43,6.109756951e-52,9.57195195222e-61,1.28537616501e-69
9.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,9.49050944543e-18,4.50799195092e-26,1.42753078559e-34,3.39038561737e-43,6.44173259596e-52,1.01994093264e-60,1.38420530374e-69
9.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,9.59040954438e-18,4.6033965445e-26,1.47308689542e-34,3.53540855069e-43,6.78798433958e-52,1.08607743131e-60,1.48947736453e-69
9.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,9.69030964331e-18,4.69980013905e-26,1.51960204618e-34,3.68503496378e-43,7.14896775129e-52,1.15574972212e-60,1.60153863708e-69
9.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,9.79020974224e-18,4.79720273455e-26,1.5670862279e-34,3.83936126023e-43,7.52514799091e-52,1.22910743952e-60,1.72075014358e-69
9.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,9.89010984115e-18,4.89560433101e-26,1.61554943057e-34,3.99848484262e-43,7.91699990858e-52,1.30630491792e-60,1.84748810383e-69
10.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,9.99000994006e-18,4.99500492844e-26,1.6650016442e-34,4.16250411257e-43,8.32500814466e-52,1.38750128909e-60,1.98214441013e-69
10.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,1.0089910039e-17,5.09540452682e-26,1.7154528588e-34,4.33151847066e-43,8.7496672296e-52,1.4728605806e-60,2.12512711192e-69
10.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,1.01898101378e-17,5.19680312616e-26,1.76691306439e-34,4.5056283165e-43,9.19148168386e-52,1.56255181516e-60,2.27686091034e-69
10.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,1.02897102367e-17,5.29920072646e-26,1.81939225098e-34,4.68493504867e-43,9.65096611783e-52,1.65674911108e-60,2.43778766271e-69
10.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,1.03896103356e-17,5.40259732772e-26,1.87290040856e-34,4.86954106479e-43,1.01286453317e-51,1.75563178361e-60,2.60836689719e-69
10.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.9999999999e-07,1.04895104344e-17,5.50699292993e-26,1.92744752716e-34,5.05954976145e-43,1.06250544153e-51,1.85938444739e-60,2.78907633761e-69
10.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.05894105333e-17,5.61238753311e-26,1.98304359678e-34,5.25506553424e-43,1.11407388483e-51,1.96819711981e-60,2.98041243847e-69
10.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.06893106321e-17,5.71878113723e-26,2.03969860743e-34,5.45619377778e-43,1.16762545995e-51,2.08226532543e-60,3.18289093056e-69
10.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.07892107309e-17,5.82617374232e-26,2.09742254912e-34,5.66304088567e-43,1.22321682275e-51,2.20179020135e-60,3.39704737683e-69
10.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.08891108298e-17,5.93456534836e-26,2.15622541186e-34,5.87571425051e-43,1.280905698e-51,2.32697860364e-60,3.62343773901e-69
11.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.09890109286e-17,6.04395595536e-26,2.21611718566e-34,6.0943222639e-43,1.34075088939e-51,2.45804321468e-60,3.86263895485e-69
11.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.10889110274e-17,6.15434556331e-26,2.27710786053e-34,6.31897431646e-43,1.40281228953e-51,2.59520265161e-60,4.11524952617e-69
11.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.11888111262e-17,6.26573417221e-26,2.33920742647e-34,6.54978079778e-43,1.46715088993e-51,2.73868157568e-60,4.3818901178e-69
11.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.12887112249e-17,6.37812178207e-26,2.40242587351e-34,6.78685309648e-43,1.53382879097e-51,2.88871080264e-60,4.66320416749e-69
11.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999989e-07,1.13886113237e-17,6.49150839289e-26,2.46677319164e-34,7.03030360016e-43,1.60290921195e-51,3.04552741417e-60,4.95985850692e-69
