time,hexokinase,glucose,glucose6phosphate
854.4,1e-09,9.99999999146e-07,8.53546453546e-16
854.5,1e-09,9.99999999146e-07,8.53646353646e-16
854.6,1e-09,9.99999999146e-07,8.53746253746e-16
854.7,1e-09,9.99999999146e-07,8.53846153846e-16
854.8,1e-09,9.99999999146e-07,8.53946053946e-16
854.9,1e-09,9.99999999146e-07,8.54045954046e-16
855.0,1e-09,9.99999999145e-07,8.54145854145e-16
855.1,1e-09,9.99999999145e-07,8.54245754245e-16
855.2,1e-09,9.99999999145e-07,8.54345654345e-16
855.3,1e-09,9.99999999145e-07,8.54445554445e-16
855.4,1e-09,9.99999999145e-07,8.54545454545e-16
855.5,1e-09,9.99999999145e-07,8.54645354645e-16
855.6,1e-09,9.99999999145e-07,8.54745254745e-16
855.7,1e-09,9.99999999145e-07,8.54845154845e-16
855.8,1e-09,9.99999999145e-07,8.54945054945e-16
855.9,1e-09,9.99999999145e-07,8.55044955045e-16
856.0,1e-09,9.99999999144e-07,8.55144855144e-16
856.1,1e-09,9.99999999144e-07,8.55244755244e-16
856.2,1e-09,9.99999999144e-07,8.55344655344e-16
856.3,1e-09,9.99999999144e-07,8.55444555444e-16
856.4,1e-09,9.99999999144e-07,8.55544455544e-16
856.5,1e-09,9.99999999144e-07,8.55644355644e-16
856.6,1e-09,9.99999999144e-07,8.55744255744e-16
856.7,1e-09,9.99999999144e-07,8.55844155844e-16
856.8,1e-09,9.99999999144e-07,8.55944055944e-16
856.9,1e-09,9.99999999144e-07,8.56043956044e-16
857.0,1e-09,9.99999999143e-07,8.56143856143e-16
857.1,1e-09,9.99999999143e-07,8.56243756243e-16
857.2,1e-09,9.99999999143e-07,8.56343656343e-16
857.3,1e-09,9.99999999143e-07,8.56443556443e-16
857.4,1e-09,9.99999999143e-07,8.56543456543e-16
857.5,1e-09,9.99999999143e-07,8.56643356643e-16
857.6,1e-09,9.99999999143e-07,8.56743256743e-16
857.7,1e-09,9.99999999143e-07,8.56843156843e-16
857.8,1e-09,9.99999999143e-07,8.56943056943e-16
857.9,1e-09,9.99999999143e-07,8.57042957043e-16
858.0,1e-09,9.99999999142e-07,8.57142857142e-16
858.1,1e-09,9.99999999142e-07,8.57242757242e-16
858.2,1e-09,9.99999999142e-07,8.57342657342e-16
858.3,1e-09,9.99999999142e-07,8.57442557442e-16
858.4,1e-09,9.99999999142e-07,8.57542457542e-16
858.5,1e-09,9.99999999142e-07,8.57642357642e-16
858.6,1e-09,9.99999999142e-07,8.57742257742e-16
858.7,1e-09,9.99999999142e-07,8.57842157842e-16
858.8,1e-09,9.99999999142e-07,8.57942057942e-16
858.9,1e-09,9.99999999142e-07,8.58041958042e-16
859.0,1e-09,9.99999999141e-07,8.58141858141e-16
859.1,1e-09,9.99999999141e-07,8.58241758241e-16
859.2,1e-09,9.99999999141e-07,8.58341658341e-16
859.3,1e-09,9.99999999141e-07,8.58441558441e-16
859.4,1e-09,9.99999999141e-07,8.58541458541e-16
859.5,1e-09,9.99999999141e-07,8.58641358641e-16
859.6,1e-09,9.99999999141e-07,8.58741258741e-16
859.7,1e-09,9.99999999141e-07,8.58841158841e-16
859.8,1e-09,9.99999999141e-07,8.58941058941e-16
859.9,1e-09,9.99999999141e-07,8.59040959041e-16
860.0,1e-09,9.9999999914e-07,8.5914085914e-16
860.1,1e-09,9.9999999914e-07,8.5924075924e-16
860.2,1e-09,9.9999999914e-07,8.5934065934e-16
860.3,1e-09,9.9999999914e-07,8.5944055944e-16
860.4,1e-09,9.9999999914e-07,8.5954045954e-16
860.5,1e-09,9.9999999914e-07,8.5964035964e-16
860.6,1e-09,9.9999999914e-07,8.5974025974e-16
860.7,1e-09,9.9999999914e-07,8.5984015984e-16
860.8,1e-09,9.9999999914e-07,8.5994005994e-16
860.9,1e-09,9.9999999914e-07,8.6003996004e-16
861.0,1e-09,9.99999999139e-07,8.60139860139e-16
861.1,1e-09,9.99999999139e-07,8.60239760239e-16
861.2,1e-09,9.99999999139e-07,8.60339660339e-16
861.3,1e-09,9.99999999139e-07,8.60439560439e-16
861.4,1e-09,9.99999999139e-07,8.60539460539e-16
861.5,1e-09,9.99999999139e-07,8.60639360639e-16
861.6,1e-09,9.99999999139e-07,8.60739260739e-16
861.7,1e-09,9.99999999139e-07,8.60839160839e-16
861.8,1e-09,9.99999999139e-07,8.60939060939e-16
861.9,1e-09,9.99999999139e-07,8.61038961039e-16
862.0,1e-09,9.99999999138e-07,8.61138861138e-16
862.1,1e-09,9.99999999138e-07,8.61238761238e-16
862.2,1e-09,9.99999999138e-07,8.61338661338e-16
862.3,1e-09,9.99999999138e-07,8.61438561438e-16
862.4,1e-09,9.99999999138e-07,8.61538461538e-16
862.5,1e-09,9.99999999138e-07,8.61638361638e-16
862.6,1e-09,9.99999999138e-07,8.61738261738e-16
862.7,1e-09,9.99999999138e-07,8.61838161838e-16
862.8,1e-09,9.99999999138e-07,8.61938061938e-16
862.9,1e-09,9.99999999138e-07,8.62037962038e-16
863.0,1e-09,9.99999999137e-07,8.62137862137e-16
863.1,1e-09,9.99999999137e-07,8.62237762237e-16
863.2,1e-09,9.99999999137e-07,8.62337662337e-16
863.3,1e-09,9.99999999137e-07,8.62437562437e-16
863.4,1e-09,9.99999999137e-07,8.62537462537e-16
863.5,1e-09,9.99999999137e-07,8.62637362637e-16
863.6,1e-09,9.99999999137e-07,8.62737262737e-16
863.7,1e-09,9.99999999137e-07,8.62837162837e-16
863.8,1e-09,9.99999999137e-07,8.62937062937e-16
863.9,1e-09,9.99999999137e-07,8.63036963037e-16
864.0,1e-09,9.99999999136e-07,8.63136863136e-16
864.1,1e-09,9.99999999136e-07,8.63236763236e-16
864.2,1e-09,9.99999999136e-07,8.63336663336e-16
864.3,1e-09,9.99999999136e-07,8.63436563436e-16
864.4,1e-09,9.99999999136e-07,8.63536463536e-16
864.5,1e-09,9.99999999136e-07,8.63636363636e-16
864.6,1e-09,9.99999999136e-07,8.63736263736e-16
864.7,1e-09,9.99999999136e-07,8.63836163836e-16
864.8,1e-09,9.99999999136e-07,8.63936063936e-16
864.9,1e-09,9.99999999136e-07,8.64035964036e-16
865.0,1e-09,9.99999999135e-07,8.64135864135e-16
865.1,1e-09,9.99999999135e-07,8.64235764235e-16
865.2,1e-09,9.99999999135e-07,8.64335664335e-16
865.3,1e-09,9.99999999135e-07,8.64435564435e-16
865.4,1e-09,9.99999999135e-07,8.64535464535e-16
865.5,1e-09,9.99999999135e-07,8.64635364635e-16
865.6,1e-09,9.99999999135e-07,8.64735264735e-16
865.7,1e-09,9.99999999135e-07,8.64835164835e-16
865.8,1e-09,9.99999999135e-07,8.64935064935e-16
865.9,1e-09,9.99999999135e-07,8.65034965035e-16
866.0,1e-09,9.99999999134e-07,8.65134865134e-16
866.1,1e-09,9.99999999134e-07,8.65234765234e-16
866.2,1e-09,9.99999999134e-07,8.65334665334e-16
866.3,1e-09,9.99999999134e-07,8.65434565434e-16
866.4,1e-09,9.99999999134e-07,8.65534465534e-16
