time,Glucose,Hexokinase,Complex_G_H
597.0,1e-06,1.00041798733e-06,1.79083969999e-16
598.0,1e-06,1.00041868763e-06,1.79383916266e-16
599.0,1e-06,1.00041938792e-06,1.79683862444e-16
600.0,1e-06,1.00042008821e-06,1.79983808531e-16
601.0,1e-06,1.00042078851e-06,1.80283754529e-16
602.0,1e-06,1.0004214888e-06,1.80583700437e-16
603.0,1e-06,1.0004221891e-06,1.80883646255e-16
604.0,1e-06,1.00042288939e-06,1.81183591983e-16
605.0,1e-06,1.00042358969e-06,1.81483537621e-16
606.0,1e-06,1.00042428999e-06,1.8178348317e-16
607.0,1e-06,1.00042499028e-06,1.82083428628e-16
608.0,1e-06,1.00042569058e-06,1.82383373997e-16
609.0,1e-06,1.00042639088e-06,1.82683319276e-16
610.0,1e-06,1.00042709118e-06,1.82983264465e-16
611.0,1e-06,1.00042779148e-06,1.83283209564e-16
612.0,1e-06,1.00042849178e-06,1.83583154573e-16
613.0,1e-06,1.00042919208e-06,1.83883099493e-16
614.0,1e-06,1.00042989238e-06,1.84183044322e-16
615.0,1e-06,1.00043059268e-06,1.84482989062e-16
616.0,1e-06,1.00043129298e-06,1.84782933712e-16
617.0,1e-06,1.00043199328e-06,1.85082878272e-16
618.0,1e-06,1.00043269358e-06,1.85382822742e-16
619.0,1e-06,1.00043339389e-06,1.85682767123e-16
620.0,1e-06,1.00043409419e-06,1.85982711413e-16
621.0,1e-06,1.0004347945e-06,1.86282655614e-16
622.0,1e-06,1.0004354948e-06,1.86582599725e-16
623.0,1e-06,1.00043619511e-06,1.86882543745e-16
624.0,1e-06,1.00043689541e-06,1.87182487676e-16
625.0,1e-06,1.00043759572e-06,1.87482431518e-16
626.0,1e-06,1.00043829602e-06,1.87782375269e-16
627.0,1e-06,1.00043899633e-06,1.88082318931e-16
628.0,1e-06,1.00043969664e-06,1.88382262502e-16
629.0,1e-06,1.00044039695e-06,1.88682205984e-16
630.0,1e-06,1.00044109725e-06,1.88982149376e-16
631.0,1e-06,1.00044179756e-06,1.89282092678e-16
632.0,1e-06,1.00044249787e-06,1.8958203589e-16
633.0,1e-06,1.00044319818e-06,1.89881979013e-16
634.0,1e-06,1.00044389849e-06,1.90181922045e-16
635.0,1e-06,1.0004445988e-06,1.90481864988e-16
636.0,1e-06,1.00044529912e-06,1.90781807841e-16
637.0,1e-06,1.00044599943e-06,1.91081750604e-16
638.0,1e-06,1.00044669974e-06,1.91381693277e-16
639.0,1e-06,1.00044740005e-06,1.9168163586e-16
640.0,1e-06,1.00044810037e-06,1.91981578354e-16
641.0,1e-06,1.00044880068e-06,1.92281520757e-16
642.0,1e-06,1.000449501e-06,1.92581463071e-16
643.0,1e-06,1.00045020131e-06,1.92881405295e-16
644.0,1e-06,1.00045090163e-06,1.93181347429e-16
645.0,1e-06,1.00045160194e-06,1.93481289473e-16
646.0,1e-06,1.00045230226e-06,1.93781231428e-16
647.0,1e-06,1.00045300257e-06,1.94081173292e-16
648.0,1e-06,1.00045370289e-06,1.94381115067e-16
649.0,1e-06,1.00045440321e-06,1.94681056752e-16
650.0,1e-06,1.00045510353e-06,1.94980998347e-16
651.0,1e-06,1.00045580385e-06,1.95280939852e-16
652.0,1e-06,1.00045650417e-06,1.95580881267e-16
653.0,1e-06,1.00045720449e-06,1.95880822593e-16
654.0,1e-06,1.00045790481e-06,1.96180763828e-16
655.0,1e-06,1.00045860513e-06,1.96480704974e-16
656.0,1e-06,1.00045930545e-06,1.9678064603e-16
657.0,1e-06,1.00046000577e-06,1.97080586996e-16
658.0,1e-06,1.00046070609e-06,1.97380527872e-16
659.0,1e-06,1.00046140642e-06,1.97680468658e-16
660.0,1e-06,1.00046210674e-06,1.97980409355e-16
661.0,1e-06,1.00046280706e-06,1.98280349962e-16
662.0,1e-06,1.00046350739e-06,1.98580290479e-16
663.0,1e-06,1.00046420771e-06,1.98880230906e-16
664.0,1e-06,1.00046490804e-06,1.99180171243e-16
665.0,1e-06,1.00046560836e-06,1.9948011149e-16
666.0,1e-06,1.00046630869e-06,1.99780051648e-16
667.0,1e-06,1.00046700901e-06,2.00079991715e-16
668.0,1e-06,1.00046770934e-06,2.00379931693e-16
669.0,1e-06,1.00046840967e-06,2.00679871581e-16
670.0,1e-06,1.00046911e-06,2.00979811379e-16
671.0,1e-06,1.00046981033e-06,2.01279751087e-16
672.0,1e-06,1.00047051066e-06,2.01579690706e-16
673.0,1e-06,1.00047121099e-06,2.01879630234e-16
674.0,1e-06,1.00047191132e-06,2.02179569673e-16
675.0,1e-06,1.00047261165e-06,2.02479509022e-16
676.0,1e-06,1.00047331198e-06,2.02779448281e-16
677.0,1e-06,1.00047401231e-06,2.0307938745e-16
678.0,1e-06,1.00047471264e-06,2.0337932653e-16
679.0,1e-06,1.00047541297e-06,2.03679265519e-16
680.0,1e-06,1.00047611331e-06,2.03979204419e-16
681.0,1e-06,1.00047681364e-06,2.04279143229e-16
682.0,1e-06,1.00047751397e-06,2.04579081949e-16
683.0,1e-06,1.00047821431e-06,2.04879020579e-16
684.0,1e-06,1.00047891464e-06,2.05178959119e-16
685.0,1e-06,1.00047961498e-06,2.0547889757e-16
686.0,1e-06,1.00048031531e-06,2.05778835931e-16
687.0,1e-06,1.00048101565e-06,2.06078774201e-16
688.0,1e-06,1.00048171599e-06,2.06378712382e-16
689.0,1e-06,1.00048241633e-06,2.06678650474e-16
690.0,1e-06,1.00048311666e-06,2.06978588475e-16
691.0,1e-06,1.000483817e-06,2.07278526386e-16
692.0,1e-06,1.00048451734e-06,2.07578464208e-16
693.0,1e-06,1.00048521768e-06,2.0787840194e-16
694.0,1e-06,1.00048591802e-06,2.08178339582e-16
695.0,1e-06,1.00048661836e-06,2.08478277134e-16
696.0,1e-06,1.0004873187e-06,2.08778214596e-16
697.0,1e-06,1.00048801904e-06,2.09078151969e-16
698.0,1e-06,1.00048871938e-06,2.09378089251e-16
699.0,1e-06,1.00048941973e-06,2.09678026444e-16
700.0,1e-06,1.00049012007e-06,2.09977963547e-16
701.0,1e-06,1.00049082041e-06,2.1027790056e-16
702.0,1e-06,1.00049152076e-06,2.10577837484e-16
703.0,1e-06,1.0004922211e-06,2.10877774317e-16
704.0,1e-06,1.00049292145e-06,2.11177711061e-16
705.0,1e-06,1.00049362179e-06,2.11477647715e-16
706.0,1e-06,1.00049432214e-06,2.11777584278e-16
707.0,1e-06,1.00049502248e-06,2.12077520753e-16
708.0,1e-06,1.00049572283e-06,2.12377457137e-16
709.0,1e-06,1.00049642318e-06,2.12677393431e-16
710.0,1e-06,1.00049712352e-06,2.12977329636e-16
711.0,1e-06,1.00049782387e-06,2.13277265751e-16
712.0,1e-06,1.00049852422e-06,2.13577201776e-16
713.0,1e-06,1.00049922457e-06,2.13877137711e-16
714.0,1e-06,1.00049992492e-06,2.14177073556e-16
715.0,1e-06,1.00050062527e-06,2.14477009312e-16
716.0,1e-06,1.00050132562e-06,2.14776944977e-16
717.0,1e-06,1.00050202597e-06,2.15076880553e-16
718.0,1e-06,1.00050272632e-06,2.15376816039e-16
719.0,1e-06,1.00050342668e-06,2.15676751435e-16
720.0,1e-06,1.00050412703e-06,2.15976686742e-16
721.0,1e-06,1.00050482738e-06,2.16276621958e-16
722.0,1e-06,1.00050552774e-06,2.16576557085e-16
723.0,1e-06,1.00050622809e-06,2.16876492122e-16
724.0,1e-06,1.00050692844e-06,2.17176427069e-16
725.0,1e-06,1.0005076288e-06,2.17476361926e-16
726.0,1e-06,1.00050832916e-06,2.17776296693e-16
727.0,1e-06,1.00050902951e-06,2.18076231371e-16
728.0,1e-06,1.00050972987e-06,2.18376165959e-16
729.0,1e-06,1.00051043023e-06,2.18676100457e-16
730.0,1e-06,1.00051113058e-06,2.18976034865e-16
731.0,1e-06,1.00051183094e-06,2.19275969183e-16
732.0,1e-06,1.0005125313e-06,2.19575903411e-16
733.0,1e-06,1.00051323166e-06,2.1987583755e-16
734.0,1e-06,1.00051393202e-06,2.20175771599e-16
735.0,1e-06,1.00051463238e-06,2.20475705557e-16
736.0,1e-06,1.00051533274e-06,2.20775639427e-16
737.0,1e-06,1.0005160331e-06,2.21075573206e-16
738.0,1e-06,1.00051673346e-06,2.21375506895e-16
739.0,1e-06,1.00051743382e-06,2.21675440495e-16
740.0,1e-06,1.00051813419e-06,2.21975374005e-16
741.0,1e-06,1.00051883455e-06,2.22275307425e-16
742.0,1e-06,1.00051953491e-06,2.22575240755e-16
743.0,1e-06,1.00052023528e-06,2.22875173995e-16
744.0,1e-06,1.00052093564e-06,2.23175107146e-16
745.0,1e-06,1.000521636e-06,2.23475040206e-16
746.0,1e-06,1.00052233637e-06,2.23774973177e-16
747.0,1e-06,1.00052303674e-06,2.24074906058e-16
748.0,1e-06,1.0005237371e-06,2.24374838849e-16
749.0,1e-06,1.00052443747e-06,2.24674771551e-16
750.0,1e-06,1.00052513784e-06,2.24974704162e-16
751.0,1e-06,1.0005258382e-06,2.25274636684e-16
752.0,1e-06,1.00052653857e-06,2.25574569116e-16
753.0,1e-06,1.00052723894e-06,2.25874501458e-16
754.0,1e-06,1.00052793931e-06,2.2617443371e-16
755.0,1e-06,1.00052863968e-06,2.26474365873e-16
756.0,1e-06,1.00052934005e-06,2.26774297945e-16
757.0,1e-06,1.00053004042e-06,2.27074229928e-16
