time,Glucose,Hexokinase,Complex_G_H
1325.0,1e-06,3.00278379078e-06,1.19226326623e-15
1326.0,1e-06,3.00278589273e-06,1.19316290897e-15
1327.0,1e-06,3.00278799468e-06,1.19406255144e-15
1328.0,1e-06,3.00279009664e-06,1.19496219364e-15
1329.0,1e-06,3.00279219859e-06,1.19586183557e-15
1330.0,1e-06,3.00279430055e-06,1.19676147723e-15
1331.0,1e-06,3.0027964025e-06,1.19766111863e-15
1332.0,1e-06,3.00279850446e-06,1.19856075975e-15
1333.0,1e-06,3.00280060642e-06,1.19946040061e-15
1334.0,1e-06,3.00280270838e-06,1.2003600412e-15
1335.0,1e-06,3.00280481034e-06,1.20125968152e-15
1336.0,1e-06,3.00280691231e-06,1.20215932156e-15
1337.0,1e-06,3.00280901427e-06,1.20305896134e-15
1338.0,1e-06,3.00281111624e-06,1.20395860085e-15
1339.0,1e-06,3.00281321821e-06,1.2048582401e-15
1340.0,1e-06,3.00281532018e-06,1.20575787907e-15
1341.0,1e-06,3.00281742215e-06,1.20665751777e-15
1342.0,1e-06,3.00281952412e-06,1.20755715621e-15
1343.0,1e-06,3.0028216261e-06,1.20845679437e-15
1344.0,1e-06,3.00282372807e-06,1.20935643227e-15
1345.0,1e-06,3.00282583005e-06,1.2102560699e-15
1346.0,1e-06,3.00282793203e-06,1.21115570726e-15
1347.0,1e-06,3.00283003401e-06,1.21205534434e-15
1348.0,1e-06,3.00283213599e-06,1.21295498117e-15
1349.0,1e-06,3.00283423797e-06,1.21385461772e-15
1350.0,1e-06,3.00283633996e-06,1.214754254e-15
1351.0,1e-06,3.00283844195e-06,1.21565389001e-15
1352.0,1e-06,3.00284054393e-06,1.21655352576e-15
1353.0,1e-06,3.00284264592e-06,1.21745316123e-15
1354.0,1e-06,3.00284474791e-06,1.21835279644e-15
1355.0,1e-06,3.00284684991e-06,1.21925243137e-15
1356.0,1e-06,3.0028489519e-06,1.22015206604e-15
1357.0,1e-06,3.00285105389e-06,1.22105170044e-15
1358.0,1e-06,3.00285315589e-06,1.22195133457e-15
