time,GluGA3P,GA3PDHAP,DHAPG3P,Glu,GA3P,DHAP,G3P
1801.1,4.06e-05,1.5e-06,0.05,5.11067241341e-07,4.29777617841e-07,1.07395446816e-09,5.80811863498e-08
1801.2,4.06e-05,1.5e-06,0.05,5.11048194661e-07,4.29791027049e-07,1.07398861043e-09,5.80867896796e-08
1801.3,4.06e-05,1.5e-06,0.05,5.1102914869e-07,4.29804435372e-07,1.07402275046e-09,5.80923931874e-08
1801.4,4.06e-05,1.5e-06,0.05,5.1101010343e-07,4.29817842808e-07,1.07405688825e-09,5.80979968734e-08
1801.5,4.06e-05,1.5e-06,0.05,5.10991058879e-07,4.2983124936e-07,1.07409102379e-09,5.81036007375e-08
1801.6,4.06e-05,1.5e-06,0.05,5.10972015038e-07,4.29844655025e-07,1.07412515708e-09,5.81092047797e-08
1801.7,4.06e-05,1.5e-06,0.05,5.10952971907e-07,4.29858059805e-07,1.07415928813e-09,5.8114809e-08
1801.8,4.06e-05,1.5e-06,0.05,5.10933929485e-07,4.298714637e-07,1.07419341694e-09,5.81204133984e-08
1801.9,4.06e-05,1.5e-06,0.05,5.10914887773e-07,4.29884866709e-07,1.0742275435e-09,5.81260179748e-08
1802.0,4.06e-05,1.5e-06,0.05,5.10895846771e-07,4.29898268832e-07,1.07426166781e-09,5.81316227292e-08
1802.1,4.06e-05,1.5e-06,0.05,5.10876806478e-07,4.29911670071e-07,1.07429578989e-09,5.81372276617e-08
1802.2,4.06e-05,1.5e-06,0.05,5.10857766895e-07,4.29925070423e-07,1.07432990971e-09,5.81428327722e-08
1802.3,4.06e-05,1.5e-06,0.05,5.10838728021e-07,4.29938469891e-07,1.07436402729e-09,5.81484380607e-08
1802.4,4.06e-05,1.5e-06,0.05,5.10819689857e-07,4.29951868473e-07,1.07439814263e-09,5.81540435273e-08
1802.5,4.06e-05,1.5e-06,0.05,5.10800652403e-07,4.2996526617e-07,1.07443225573e-09,5.81596491718e-08
1802.6,4.06e-05,1.5e-06,0.05,5.10781615658e-07,4.29978662981e-07,1.07446636658e-09,5.81652549943e-08
1802.7,4.06e-05,1.5e-06,0.05,5.10762579622e-07,4.29992058908e-07,1.07450047518e-09,5.81708609947e-08
1802.8,4.06e-05,1.5e-06,0.05,5.10743544296e-07,4.30005453949e-07,1.07453458155e-09,5.81764671731e-08
1802.9,4.06e-05,1.5e-06,0.05,5.1072450968e-07,4.30018848105e-07,1.07456868567e-09,5.81820735294e-08
1803.0,4.06e-05,1.5e-06,0.05,5.10705475773e-07,4.30032241376e-07,1.07460278754e-09,5.81876800637e-08
1803.1,4.06e-05,1.5e-06,0.05,5.10686442575e-07,4.30045633762e-07,1.07463688717e-09,5.81932867759e-08
1803.2,4.06e-05,1.5e-06,0.05,5.10667410086e-07,4.30059025263e-07,1.07467098456e-09,5.8198893666e-08
1803.3,4.06e-05,1.5e-06,0.05,5.10648378307e-07,4.30072415879e-07,1.07470507971e-09,5.82045007339e-08
1803.4,4.06e-05,1.5e-06,0.05,5.10629347237e-07,4.30085805611e-07,1.07473917261e-09,5.82101079798e-08
