time,GlucoseGA3P,GA3PDHAP,DHAPG3P,G3PGlycerol,GA3PPyruvate,PyruvateAlphaAcetolactate,AlphaAcetolactateDiacetyl,DiacetylAcetoin,AcetoinBDO,PyruvateAcetylaldehyde,AcetylaldehydeAcetoin,AcetylaldehydeAcetate,AcetateEthanol,Glucose,GA3P,DHAP,G3P,Glycerol,Pyruvate,AlphaAcetolactate,Diacetyl,Acetoin,BDO,Acetylaldehyde,Acetate,Ethanol
55.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.004125e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000887508405931,1.66666666667e+99,0.00224682348803,0.000137103425814,2.09459637941e-06,1.66666666667e+99,0.000170917644967,2.31313184034e-08,3.94990081728e-08,9.54485737008e-11,1.3789233513e-05,1.93431179027e-07,0.000687298283943
56.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0042e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000885503501635,1.66666666667e+99,0.00228787833408,0.000139963926255,2.1792498925e-06,1.66666666667e+99,0.000174068703019,2.37103582393e-08,4.10876321298e-08,1.00934922199e-10,1.3789233513e-05,1.93431179027e-07,0.000700198122992
57.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.004275e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000883500103055,1.66666666667e+99,0.00232892992622,0.000142825980247,2.26560376537e-06,1.66666666667e+99,0.000177219959835,2.42906631784e-08,4.27115077303e-08,1.06639993096e-10,1.3789233513e-05,1.93431179027e-07,0.00071309796204
58.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00435e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000881498213616,1.66666666667e+99,0.00236997837158,0.000145689481656,2.35365699645e-06,1.66666666667e+99,0.000180371415414,2.48721596034e-08,4.43707052437e-08,1.12568591439e-10,1.3789233513e-05,1.93431179027e-07,0.000725997801089
59.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.004425e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000879497836753,1.66666666667e+99,0.00241102377209,0.000148554329617,2.44340852303e-06,1.66666666667e+99,0.000183523069754,2.54547782664e-08,4.60652905603e-08,1.18725531547e-10,1.3789233513e-05,1.93431179027e-07,0.000738897640137
60.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0045e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000877498975908,1.66666666667e+99,0.0024520662248,0.000151420428207,2.53485722454e-06,1.66666666667e+99,0.000186674922855,2.60384540303e-08,4.77953254508e-08,1.25115636425e-10,1.3789233513e-05,1.93431179027e-07,0.000751797479185
61.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.004575e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000875501634529,1.66666666667e+99,0.00249310582217,0.000154287686129,2.6280019257e-06,1.66666666667e+99,0.000189826974715,2.66231256242e-08,4.95608678116e-08,1.31743737221e-10,1.3789233513e-05,1.93431179027e-07,0.000764697318234
62.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00465e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000873505816073,1.66666666667e+99,0.0025341426524,0.000157156016429,2.72284139935e-06,1.66666666667e+99,0.000192979225331,2.72087354141e-08,5.13619718943e-08,1.38614672719e-10,1.3789233513e-05,1.93431179027e-07,0.000777597157282
63.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.004725e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000871511524006,1.66666666667e+99,0.00257517679963,0.00016002533623,2.81937436918e-06,1.66666666667e+99,0.000196131674704,2.7795229187e-08,5.3198688522e-08,1.45733288853e-10,1.3789233513e-05,1.93431179027e-07,0.000790496996331
64.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0048e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000869518761801,1.66666666667e+99,0.00261620834423,0.000162895566489,2.91759951231e-06,1.66666666667e+99,0.000199284322831,2.83825559479e-08,5.50710652933e-08,1.53104438254e-10,1.3789233513e-05,1.93431179027e-07,0.000803396835379
